airlineEnglish,airlineKorean,airport,airportCode,city,cityCode,flightPurpose,internationalEddate,internationalFri,internationalIoType,internationalMon,internationalNum,internationalSat,internationalStdate,internationalSun,internationalThu,internationalTime,internationalTue,internationalWed
JEJU AIR,제주항공,대구,TAE,동경/도쿄/나리타,NRT,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,7C1119,Y,2018-10-28T00:00:00+09:00,Y,Y,2310,Y,Y
KOREA EXPRESS AIR,코리아익스프레스에어,무안,MWX,키타큐슈,KKJ,여객기,2019-01-28T00:00:00+09:00,Y,IN,N,KW532,N,2018-10-28T00:00:00+09:00,Y,N,2350,Y,N
EASTAR JET,이스타항공,청주,CJJ,상해/푸동,PVG,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,ZE821,Y,2018-10-28T00:00:00+09:00,N,N,2350,N,Y
EASTAR JET,이스타항공,청주,CJJ,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,ZE781,N,2018-10-28T00:00:00+09:00,N,N,2350,Y,N
JINAIR,진에어,제주,CJU,시안,XIY,여객기,2019-03-31T00:00:00+09:00,Y,IN,Y,LJ172,N,2019-01-02T00:00:00+09:00,N,N,0605,N,N
SPRING AIRLINES,춘추항공,제주,CJU,양저우(양주)/양저우,YTY,여객기,2019-01-23T00:00:00+09:00,N,IN,N,9C8539,N,2019-01-02T00:00:00+09:00,N,N,1200,Y,N
SPRING AIRLINES,춘추항공,제주,CJU,양저우(양주)/양저우,YTY,여객기,2019-01-23T00:00:00+09:00,Y,IN,N,9C8539,N,2019-01-02T00:00:00+09:00,N,N,1205,N,N
SPRING AIRLINES,춘추항공,제주,CJU,양저우(양주)/양저우,YTY,여객기,2019-01-23T00:00:00+09:00,Y,OUT,N,9C8540,N,2019-01-02T00:00:00+09:00,N,N,1305,N,N
SPRING AIRLINES,춘추항공,제주,CJU,양저우(양주)/양저우,YTY,여객기,2019-01-23T00:00:00+09:00,N,OUT,N,9C8540,N,2019-01-02T00:00:00+09:00,N,N,1305,Y,N
CHINA SOUTHERN AIRLINES,중국남방항공,청주,CJJ,연길/옌지,YNJ,여객기,2019-02-04T00:00:00+09:00,N,IN,Y,CZ8331,Y,2019-01-02T00:00:00+09:00,N,N,1730,Y,N
CHINA SOUTHERN AIRLINES,중국남방항공,청주,CJJ,연길/옌지,YNJ,여객기,2019-02-04T00:00:00+09:00,N,OUT,Y,CZ8332,Y,2019-01-02T00:00:00+09:00,N,N,1830,Y,N
JINAIR,진에어,부산/김해,PUS,오사카/간사이,KIX,여객기,2019-03-30T00:00:00+09:00,N,IN,N,LJ218,N,2019-01-02T00:00:00+09:00,N,N,2135,N,Y
VIETJET AIR,비엣젯항공,청주,CJJ,달랏,DLI,여객기,2019-01-23T00:00:00+09:00,N,IN,N,VJ3652,N,2019-01-03T00:00:00+09:00,N,N,0700,N,N
VIETJET AIR,비엣젯항공,청주,CJJ,달랏,DLI,여객기,2019-01-23T00:00:00+09:00,N,OUT,N,VJ3653,N,2019-01-03T00:00:00+09:00,N,N,0810,N,N
AIR BUSAN,에어부산,부산/김해,PUS,씨앰립/시엠립,REP,여객기,2019-03-28T00:00:00+09:00,N,OUT,N,BX721,N,2019-01-03T00:00:00+09:00,N,Y,2000,N,N
AIR BUSAN,에어부산,부산/김해,PUS,싱가폴/싱가포르,SIN,여객기,2019-01-29T00:00:00+09:00,N,IN,N,BX7625,Y,2019-01-04T00:00:00+09:00,N,N,0720,N,Y
SPRING AIRLINES,춘추항공,제주,CJU,상해/푸동,PVG,여객기,2019-01-23T00:00:00+09:00,N,IN,N,9C8861,N,2019-01-04T00:00:00+09:00,N,N,1200,Y,N
SPRING AIRLINES,춘추항공,제주,CJU,상해/푸동,PVG,여객기,2019-03-30T00:00:00+09:00,Y,IN,N,9C8861,N,2019-01-04T00:00:00+09:00,N,N,1200,Y,N
SPRING AIRLINES,춘추항공,제주,CJU,상해/푸동,PVG,여객기,2019-01-24T00:00:00+09:00,N,OUT,N,9C8862,N,2019-01-04T00:00:00+09:00,N,N,1305,Y,N
SPRING AIRLINES,춘추항공,제주,CJU,상해/푸동,PVG,여객기,2019-01-23T00:00:00+09:00,N,OUT,N,9C8862,N,2019-01-04T00:00:00+09:00,N,N,1305,Y,N
KOREAN AIR,대한항공,부산/김해,PUS,삿포로,CTS,여객기,2019-03-30T00:00:00+09:00,N,OUT,Y,KE771,Y,2019-01-04T00:00:00+09:00,Y,Y,1355,N,N
AIR BUSAN,에어부산,부산/김해,PUS,싱가폴/싱가포르,SIN,여객기,2019-01-29T00:00:00+09:00,Y,OUT,N,BX7615,N,2019-01-04T00:00:00+09:00,N,N,1815,Y,N
AIR BUSAN,에어부산,부산/김해,PUS,씨앰립/시엠립,REP,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,BX721,Y,2019-01-04T00:00:00+09:00,N,N,2005,N,Y
KOREAN AIR,대한항공,부산/김해,PUS,삿포로,CTS,여객기,2019-03-30T00:00:00+09:00,N,IN,Y,KE772,Y,2019-01-04T00:00:00+09:00,Y,Y,2005,N,N
VIETJET AIR,비엣젯항공,청주,CJJ,나트랑,CXR,여객기,2019-03-03T00:00:00+09:00,N,IN,N,VJ5762,N,2019-01-05T00:00:00+09:00,N,N,0700,N,N
VIETJET AIR,비엣젯항공,청주,CJJ,나트랑,CXR,여객기,2019-03-03T00:00:00+09:00,N,OUT,N,VJ5763,N,2019-01-05T00:00:00+09:00,N,N,0810,N,N
KOREAN AIR,대한항공,부산/김해,PUS,후쿠오카,FUK,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,KE783,Y,2019-01-05T00:00:00+09:00,Y,Y,0900,Y,Y
KOREAN AIR,대한항공,부산/김해,PUS,후쿠오카,FUK,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,KE784,Y,2019-01-05T00:00:00+09:00,Y,Y,1155,Y,Y
KOREAN AIR,대한항공,부산/김해,PUS,후쿠오카,FUK,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,KE797,Y,2019-01-05T00:00:00+09:00,Y,Y,1800,Y,Y
VIETNAM AIRLINES,베트남항공,청주,CJJ,다낭,DAD,여객기,2019-01-26T00:00:00+09:00,N,IN,N,VN9404,N,2019-01-05T00:00:00+09:00,N,N,2000,N,N
KOREAN AIR,대한항공,부산/김해,PUS,후쿠오카,FUK,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,KE798,Y,2019-01-05T00:00:00+09:00,Y,Y,2045,Y,Y
VIETNAM AIRLINES,베트남항공,청주,CJJ,다낭,DAD,여객기,2019-01-26T00:00:00+09:00,N,OUT,N,VN9405,N,2019-01-05T00:00:00+09:00,N,N,2100,N,N
SPRING AIRLINES,춘추항공,제주,CJU,양저우(양주)/양저우,YTY,여객기,2019-01-24T00:00:00+09:00,N,IN,Y,9C8539,N,2019-01-07T00:00:00+09:00,N,Y,1045,N,N
JAPAN AIRLINES,일본항공,서울/김포,GMP,동경/하네다,HND,여객기,2019-02-06T00:00:00+09:00,Y,IN,Y,JL91,Y,2019-01-07T00:00:00+09:00,Y,Y,1055,Y,Y
SPRING AIRLINES,춘추항공,제주,CJU,양저우(양주)/양저우,YTY,여객기,2019-03-30T00:00:00+09:00,N,OUT,Y,9C8540,N,2019-01-07T00:00:00+09:00,N,Y,1145,N,N
SPRING AIRLINES,춘추항공,제주,CJU,양저우(양주)/양저우,YTY,여객기,2019-01-23T00:00:00+09:00,N,OUT,Y,9C8540,N,2019-01-07T00:00:00+09:00,N,Y,1145,N,N
JAPAN AIRLINES,일본항공,서울/김포,GMP,동경/하네다,HND,여객기,2019-02-06T00:00:00+09:00,Y,OUT,Y,JL92,Y,2019-01-07T00:00:00+09:00,Y,Y,1210,Y,Y
EASTAR JET,이스타항공,부산/김해,PUS,오사카/간사이,KIX,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,ZE913,Y,2019-01-07T00:00:00+09:00,Y,Y,1230,Y,Y
KOREAN AIR,대한항공,부산/김해,PUS,삿포로,CTS,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,KE771,N,2019-01-07T00:00:00+09:00,N,N,1355,N,Y
ASIANA AIRLINE,아시아나항공,부산/김해,PUS,인천,ICN,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,OZ8534,N,2019-01-07T00:00:00+09:00,N,N,1530,N,Y
KOREAN AIR,대한항공,부산/김해,PUS,삿포로,CTS,여객기,2019-02-28T00:00:00+09:00,Y,OUT,N,KE771,N,2019-01-07T00:00:00+09:00,N,N,1535,Y,N
EASTAR JET,이스타항공,부산/김해,PUS,오사카/간사이,KIX,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,ZE914,Y,2019-01-07T00:00:00+09:00,Y,Y,1635,Y,Y
KOREAN AIR,대한항공,부산/김해,PUS,삿포로,CTS,여객기,2019-03-30T00:00:00+09:00,N,IN,N,KE772,N,2019-01-07T00:00:00+09:00,N,N,2105,N,Y
